numero_emenda;exercicio;subacao;unidade_gestora;credor;valor_empenhado;obs
940;2024;"EM67 - EMENDA DERIVADA 90025/2024";"FUNDO ESTADUAL DE SAÚDE";"10894988000133 - SOCIEDADE PERNAMBUCANA DE COMBATE AO CANCER";60000;"SOF 845/24 - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 54/2024. EMENDA PARLAMENTAR Nº 940 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS."
946;2024;"ELKL - EMENDA DERIVADA 10056/2024";"FUNDO ESTADUAL DE SAÚDE";"10480777000154 - FUNDO MUNICIPAL DE SAUDE DE JATAUBA";240000;"SOF 715/24-NUGEP. PARECER TÉCNICO Nº 50 (60272304). EMENDA PARLAMENTAR Nº 946 REF. A CONSTRUÇÃO DE 1 (UMA) UNIDADE BÁSICA DE SAÚDE NO SÍTIO MIMOSO"
947;2024;"EM5D - EMENDA DERIVADA 80008/2024";"FUNDO ESTADUAL DE SAÚDE";"08960773000121 - FUNDO MUNICIPAL DE SAUDE DE SAO BENTO DO UNA";196000;"SOF 775/24-NUGEP. NOTA TÉCNICA - SES - SUPERINTENDÊNCIA - ORGANIZAÇÃO SOCIAL DE SAÚDE - (ANTIGA DGAIS_OSS) - Nº 222/2024. EMENDA PARLAMENTAR Nº 947 REFERENTE A AQUISIÇÃO DE EQUIPAMENTOS PARA O HOSPITAL MUNICIPAL DR. JOSE ANTONIO DE SIQUEIRA NETO"
949;2024;"EM2N - EMENDA DERIVADA 60032/2024";"FUNDO ESTADUAL DE SAÚDE";"10480777000154 - FUNDO MUNICIPAL DE SAUDE DE JATAUBA";200000;"SOF 810/24-NUGEP. PARECER TÉCNICO Nº 50 (60272304). EMENDA PARLAMENTAR Nº 949 REF. A CONSTRUÇÃO DE 1 (UMA) UNIDADE BÁSICA DE SAÚDE NO SÍTIO MIMOSO"
951;2024;"EM68 - EMENDA DERIVADA 90063/2024";"FUNDO ESTADUAL DE SAÚDE";"11293112000102 - FUNDO MUNICIPAL DE SAUDE DE TUPARETAMA";150000;"SOF Nº 840/2024 - NUGEP. NOTA TÉCNICA Nº 76/2024. EMENDA PARLAMENTAR Nº 951 OBJETIVANDO A AQUISIÇÃO DE MEDICAMENTOS PARA ASSISTÊNCIA FARMACÊUTICA DO MUNICÍPIO."
970;2024;"EM12 - EMENDA DERIVADA 50132/2024";"FUNDO ESTADUAL DE SAÚDE";"11683174000112 - ASS. PROT.MATERNIDADE E A INFANCIA DA VITORIA ST ANTAO";73050;"SOF 504/24 - NUGEP.  NOTA TÉCNICA - SES - SUPERINTENDÊNCIA GERAL DE ASSISTÊNCIA REGIONAL - Nº 33/2024 (51124190). EMENDA PARLAMENTAR Nº 970 OBJETIVANDO A AQUISIÇÃO DE EQUIPAMENTOS (APARELHOS DE AR - CONDICIONADO SPLIT 12.000 BTUS)"
1059;2024;"ELS8 - EMENDA DERIVADA 30084/2024";"FUNDO ESTADUAL DE SAÚDE";"11208059000196 - FUNDO MUNICIPAL DE SAUDE DE INGAZEIRA";60000;"SOF  522/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 82/2024. EMENDA PARLAMENTAR Nº 1059 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS."
1096;2024;"EM4X - EMENDA DERIVADA 70008/2024";"FUNDO ESTADUAL DE SAÚDE";"11866365000110 - CENTRO HOSPITALAR SANTA MARIA";93000;"SOF 841/2024 - SES- NUGEP. NOTA TÉCNICA 59545012. EMENDA PARLAMENTAR Nº 1096 REFERENTE A COMPRA DE BISTURI ELÉTRICO E CAMA FAWLER PARA EQUIPAGEM DO CENTRO HOSPITALAR SANTA MARIA"
1110;2024;"ELW6 - EMENDA DERIVADA 40025/2024";"FUNDO ESTADUAL DE SAÚDE";"08916501000124 - FUNDO MUNICIPAL DE SAUDE DE VITORIA DE SANTO ANTAO";181920;"SOF  561/2024 - NUGEP, NOTA TÉCNICA Nº 37/2024, EMENDA 1110, AQUISIÇÃO DE RAIO-X PARA ATENDER AS NECESSIDADES DE SAUDE DA POPULAÇÃO"
1132;2024;"ELWE - EMENDA DERIVADA 40090/2024";"FUNDO ESTADUAL DE SAÚDE";"11691937000177 - CENTRO DE CAPACITACAO E FORMACAO PUBLICA - CEFOP";299330;"SOF  630/2024 - NUGEP/SEAF. NOTA TÉCNICA  GESAM  Nº 124/2024. EMENDA PARLAMENTAR Nº 1132 REFERENTE AO PROJETO ""FELIZ IDADE"" QUE VISA FORMENTAR O CUIDADO COM A SAÚDE MENTAL DOS IDOSOS DO MUNICÍPIO DE RECIFE."
